FBgn_mel	gene_symbol_mel	scaffold_mel	location_mel	strand_mel	FBgn_sim	gene_symbol_sim	scaffold_sim	location_sim	strand_sim	orthoDB_ID_sim	gene_symbol_yak	scaffold_yak	location_yak	strand_yak	FBgn_yak	orthoDB_ID_yak
49	FBgn0000179	bi	X	4412856..4485647	1	FBgn0188280	Dsim\GD16691	Scf_X	4014436..4071011	1	EOG0919081I	bi	X	4412856..4485647	1	FBgn0233875	Dyak\GE16345
50	FBgn0000180	bib	2L	9984645..9995538	1	FBgn0195024	Dsim\GD23647	Scf_2L	9675198..9686428	1	EOG0919074R	bib	2L	9984645..9995538	1	FBgn0236266	Dyak\GE18888
51	FBgn0000181	bic	2R	12870249..12871794	1	FBgn0182687	Dsim\GD10924	Scf_2R	9434763..9436341	1	EOG09190I9P	bic	2R	12870249..12871794	1	FBgn0067995	Dyak\bic
52	FBgn0000182	BicC	2L	16042047..16048757	1	FBgn0195395	Dsim\GD24037	Scf_2L	15580954..15587459	1	EOG091904JQ	BicC	2L	16042047..16048757	1	FBgn0238566	Dyak\GE21299
53	FBgn0000183	BicD	2L	17459605..17473215	-1	FBgn0193286	Dsim\GD21867	Scf_2L	16981190..16993791	-1	EOG091903IV	BicD	2L	17459605..17473215	-1	FBgn0230831	Dyak\GE13133
54	FBgn0000206	boss	3R	25961994..25966948	1	FBgn0020078	Dsim\boss	Scf_3R	21284548..21289700	1	EOG091903LT	boss	3R	25961994..25966948	1	FBgn0020664	Dyak\boss
55	FBgn0000212	brm	3L	15970082..15982869	-1	FBgn0184253	Dsim\GD12525	Scf_3L	15581706..15594502	-1	EOG091900U7	brm	3L	15970082..15982869	-1	FBgn0240329	Dyak\GE23128
56	FBgn0000216	Brd	3L	14972667..14973198	1	FBgn0186193	Dsim\GD14511	Scf_3L	14606145..14606662	1	EOG09190KHM	Brd	3L	14972667..14973198	1	FBgn0239268	Dyak\GE22036
57	FBgn0000221	brn	X	4104342..4105791	1	FBgn0188259	Dsim\GD16669	Scf_X	3685013..3686450	1	EOG09190BPL	brn	X	4104342..4105791	1	FBgn0233862	Dyak\GE16330
58	FBgn0000227	Bsg25A	2L	4683052..4684461	-1	FBgn0194094	Dsim\GD22697	Scf_2L	4503576..4504854	-1	EOG09190BDR	Bsg25A	2L	4683052..4684461	-1	FBgn0232291	Dyak\GE14697
59	FBgn0000228	Bsg25D	2L	5271728..5278548	-1	FBgn0194056	Dsim\GD22658	Scf_2L	5079777..5086560	-1	EOG091902HU	Bsg25D	2L	5271728..5278548	-1	FBgn0236373	Dyak\GE19006
60	FBgn0000229	bsk	2L	10247502..10250501	-1	FBgn0193697	Dsim\GD22289	Scf_2L	9925143..9928204	-1	EOG091909O5	bsk	2L	10247502..10250501	-1	FBgn0243305	Dyak\GE26274
61	FBgn0000233	btd	X	9694186..9697558	1	FBgn0188541	Dsim\GD16963	Scf_X	9121937..9125270	1	EOG09190F5Z	btd	X	9694186..9697558	1	FBgn0235248	Dyak\GE17806
62	FBgn0000239	bur	2L	21174182..21179683	-1	FBgn0193069	Dsim\GD21646	Scf_2L	20568903..20574472	-1	EOG091903B3	bur	2L	21174182..21179683	-1	FBgn0230703	Dyak\GE12995
63	FBgn0000241	bw	2R	23527805..23538499	-1	FBgn0196351	Dsim\GD25039	Scf_2R	19889068..19891795	-1	EOG091903ZH	bw	2R	23527805..23538499	-1	FBgn0229360	Dyak\GE11560
64	FBgn0000244	by	3R	9528238..9533011	-1	FBgn0192253	Dsim\GD20789	Scf_3R	15667961..15672837	1	EOG091905P7	by	3R	9528238..9533011	-1	FBgn0241872	Dyak\GE24769
65	FBgn0000246	c(3)G	3R	15789473..15792579	-1	FBgn0191803	Dsim\GD20329	Scf_3R	9617691..9631197	1	EOG0919042J	c(3)G	3R	15789473..15792579	-1	FBgn0243389	Dyak\GE26360
66	FBgn0000247	ca	3R	29806811..29815047	1	FBgn0192904	Dsim\GD21470	Scf_3R	24987160..24995290	1	EOG091900DN	ca	3R	29806811..29815047	1	FBgn0241037	Dyak\GE23888
67	FBgn0000250	cact	2L	16313036..16326207	-1	FBgn0067503	Dsim\cact	Scf_2L	15838988..15851833	-1	EOG091907K1	cact	2L	16313036..16326207	-1	FBgn0067432	Dyak\cact
68	FBgn0000251	cad	2L	20770731..20783135	1	FBgn0195628	Dsim\GD24280	Scf_2L	20183312..20195153	1	EOG09190DGI	cad	2L	20770731..20783135	1	FBgn0230096	Dyak\GE12346
69	FBgn0000253	Cam	2R	12259398..12278809	1	FBgn0182612	Dsim\GD10849	Scf_2R	8853558..8870614	1	EOG09190HQF	Cam	2R	12259398..12278809	1	FBgn0068179	Dyak\Cam
70	FBgn0000256	capu	2L	3872646..3902860	-1	FBgn0194121	Dsim\GD22724	Scf_2L	3724674..3754808	-1	EOG091901CK	capu	2L	3872646..3902860	-1	FBgn0232377	Dyak\GE14785
71	FBgn0000257	car	X	19566019..19569401	1	FBgn0189001	Dsim\GD17447	Scf_X	18337996..18341243	1	EOG091906LZ	car	X	19566019..19569401	1	FBgn0233412	Dyak\GE15849
72	FBgn0000259	CkIIbeta	X	11792533..11801587	1	FBgn0188623	Dsim\GD17050	Scf_X	11055143..11063991	1	EOG09190EJF	CkIIbeta	X	11792533..11801587	1	FBgn0233237	Dyak\GE15667
73	FBgn0000261	Cat	3L	18822604..18828188	1	FBgn0022505	Dsim\Cat	Scf_3L	18333337..18338871	1	EOG091905IK	Cat	3L	18822604..18828188	1	FBgn0237302	Dyak\GE19975
74	FBgn0000273	Pka-C1	2L	9682315..9699297	-1	FBgn0193752	Dsim\GD22345	Scf_2L	9367082..9380424	-1	EOG091909ZG	Pka-C1	2L	9682315..9699297	-1	FBgn0068096	Dyak\Pka-C1
75	FBgn0000274	Pka-C2	3R	30695537..30697138	-1	FBgn0188462	Dsim\GD16880	Scf_3R	25833392..25835093	-1	EOG091909YR	Pka-C2	3R	30695537..30697138	-1	FBgn0240558	Dyak\GE23365
76	FBgn0000278	CecB	3R	30213315..30213797	-1	FBgn0025038	Dsim\CecB	Scf_3R	25384012..25384627	-1	EOG09190KX2	CecB	3R	30213315..30213797	-1	FBgn0240590	Dyak\GE23398
77	FBgn0000283	Cp190	3R	15270432..15275241	-1	FBgn0041670	Dsim\Cen190	Scf_3R	10127844..10132619	1	EOG09190293	Cp190	3R	15270432..15275241	-1	FBgn0041646	Dyak\Cen190
78	FBgn0000286	Cf2	2L	4876891..4883107	-1	FBgn0194080	Dsim\GD22683	Scf_2L	4697645..4703228	-1	EOG091907M5	Cf2	2L	4876891..4883107	-1	FBgn0232250	Dyak\GE14655
79	FBgn0000287	salr	2L	11358873..11373636	1	FBgn0195148	Dsim\GD23776	Scf_2L	11010705..11025511	1	EOG091901QL	salr	2L	11358873..11373636	1	FBgn0235935	Dyak\GE18524
80	FBgn0000289	cg	2R	14173693..14182838	1	FBgn0182788	Dsim\GD11028	Scf_2R	10768144..10776729	1	EOG091902PF	cg	2R	14173693..14182838	1	FBgn0231224	Dyak\GE13562
81	FBgn0000299	Col4a1	2L	5029609..5037279	1	FBgn0194704	Dsim\GD23318	Scf_2L	4842741..4850289	1	EOG091900J6	Col4a1	2L	5029609..5037279	1	FBgn0229117	Dyak\GE11300
82	FBgn0000303	ChAT	3R	18705501..18732344	1	FBgn0190751	Dsim\GD19246	Scf_3R	6700843..6725397	-1	EOG091903J8	ChAT	3R	18705501..18732344	1	FBgn0242621	Dyak\GE25557
83	FBgn0000307	chif	2L	16342430..16352628	-1	FBgn0193330	Dsim\GD21913	Scf_2L	15868568..15878207	-1	EOG091900RO	chif	2L	16342430..16352628	-1	FBgn0230539	Dyak\GE12819
84	FBgn0000308	chic	2L	5972115..5981018	-1	FBgn0083419	Dsim\chic	Scf_2L	5768795..5776702	-1	EOG09190IFD	chic	2L	5972115..5981018	-1	FBgn0236333	Dyak\GE18963
85	FBgn0000316	cin	X	255674..258469	1	FBgn0188107	Dsim\GD16497	Scf_X	87074..89797	1	EOG091904BR	cin	X	255674..258469	1	FBgn0043603	Dyak\cin
86	FBgn0000317	ck	2L	15044963..15057862	-1	FBgn0193388	Dsim\GD21973	Scf_2L	14557858..14570657	-1	EOG09190067	ck	2L	15044963..15057862	-1	FBgn0236761	Dyak\GE19418
87	FBgn0000318	cl	2L	5520135..5521382	1	FBgn0194731	Dsim\GD23345	Scf_2L	5325079..5326327	1	EOG09190I8P	cl	2L	5520135..5521382	1	FBgn0067992	Dyak\cl
88	FBgn0000319	Chc	X	15827986..15835490	-1	FBgn0187434	Dsim\GD15774	Scf_X	14884550..14892011	-1	EOG091900DZ	Chc	X	15827986..15835490	-1	FBgn0233568	Dyak\GE16016
89	FBgn0000320	eya	2L	6527447..6546976	-1	FBgn0193969	Dsim\GD22568	Scf_2L	6300825..6320367	-1	EOG091905V3	eya	2L	6527447..6546976	-1	FBgn0235850	Dyak\GE18433
90	FBgn0000326	clt	2R	21617061..21619079	-1	FBgn0196495	Dsim\GD25183	Scf_2R	18014154..18016298	-1	EOG0919070Q	clt	2R	21617061..21619079	-1	FBgn0231349	Dyak\GE13694
91	FBgn0000330	cm	X	7009006..7011145	-1	FBgn0187799	Dsim\GD16169	Scf_X	6492530..6494369	-1	EOG0919088G	cm	X	7009006..7011145	-1	FBgn0235008	Dyak\GE17549
92	FBgn0000337	cn	2R	7782797..7785067	-1	FBgn0186970	Dsim\GD15302	Scf_2R	4511948..4513995	-1	EOG091909EQ	cn	2R	7782797..7785067	-1	FBgn0240811	Dyak\GE23640
93	FBgn0000339	cni	2L	16309292..16310726	-1	FBgn0193337	Dsim\GD21921	Scf_2L	15835463..15836600	-1	EOG09190I52	cni	2L	16309292..16310726	-1	FBgn0236712	Dyak\GE19367
94	FBgn0000346	comt	X	13259021..13262488	1	FBgn0188680	Dsim\GD17110	Scf_X	12485421..12488681	1	EOG091902XK	comt	X	13259021..13262488	1	FBgn0234538	Dyak\GE17054
95	FBgn0000351	cort	2L	6674682..6676635	-1	FBgn0193955	Dsim\GD22554	Scf_2L	6448267..6450285	-1	EOG0919062O	cort	2L	6674682..6676635	-1	FBgn0235835	Dyak\GE18417
96	FBgn0000352	cos	2R	7382176..7387115	-1	FBgn0182039	Dsim\GD10265	Scf_2R	4096730..4101564	-1	EOG091901C2	cos	2R	7382176..7387115	-1	FBgn0241241	Dyak\GE24103
97	FBgn0000355	Cp15	3L	8728481..8729066	1	FBgn0185813	Dsim\GD14122	Scf_3L	8510944..8511589	1	EOG09190KDU	Cp15	3L	8728481..8729066	1	FBgn0238073	Dyak\GE20773
98	FBgn0000356	Cp16	3L	8731944..8732599	1	FBgn0083437	Dsim\Cp16	Scf_3L	8514407..8515145	1	EOG09190JLX	Cp16	3L	8731944..8732599	1	FBgn0068176	Dyak\Cp16
99	FBgn0000358	Cp19	3L	8729865..8730604	1	FBgn0185814	Dsim\GD14123	Scf_3L	8512251..8513044	1	EOG09190I9X	Cp19	3L	8729865..8730604	1	FBgn0238074	Dyak\GE20774
100	FBgn0000359	Cp36	X	8479319..8480523	1	FBgn0188485	Dsim\GD16904	Scf_X	7932247..7933279	1	EOG09190EFE	Cp36	X	8479319..8480523	1	FBgn0233351	Dyak\GE15786
101	FBgn0000360	Cp38	X	8481837..8483311	1	FBgn0269669	Dsim\GD28379	Scf_X	7934738..7936149	1	EOG09190JBV	Cp38	X	8481837..8483311	1	FBgn0233352	Dyak\GE15787
102	FBgn0000370	crc	2L	21310866..21319527	1	FBgn0195663	Dsim\GD24316	Scf_2L	20714139..20722637	1	EOG09190C05	crc	2L	21310866..21319527	1	FBgn0230627	Dyak\GE12912
103	FBgn0000376	crm	X	2734248..2738773	-1	FBgn0041270	Dsim\crm	Scf_X	2430659..2434971	-1	EOG091905EQ	crm	X	2734248..2738773	-1	FBgn0234411	Dyak\GE16922
104	FBgn0000377	crn	X	2247594..2249983	-1	FBgn0195941	Dsim\GD24613	Scf_X	1979042..1981610	-1	EOG091903V3	crn	X	2247594..2249983	-1	FBgn0234450	Dyak\GE16963
105	FBgn0000382	csw	X	2094234..2115701	1	FBgn0196052	Dsim\GD24731	Scf_X	1838773..1848664	1	EOG091904PU	csw	X	2094234..2115701	1	FBgn0233776	Dyak\GE16236
106	FBgn0000384	cta	2L	22981816..22992951	1	FBgn0189221	Dsim\GD17672	Scf_2L	23074900..23117518	1	EOG091909HG	cta	2L	22981816..22992951	1	FBgn0067990	Dyak\cta
107	FBgn0000392	cup	2L	6663664..6674780	1	FBgn0194809	Dsim\GD23426	Scf_2L	6437332..6448359	1	EOG091901T9	cup	2L	6663664..6674780	1	FBgn0231681	Dyak\GE14055
108	FBgn0000394	cv	X	5690002..5693084	1	FBgn0188332	Dsim\GD16744	Scf_X	5217949..5220971	1	EOG09190CQD	cv	X	5690002..5693084	1	FBgn0233945	Dyak\GE16419
109	FBgn0000395	cv-2	2R	21355015..21379464	-1	FBgn0196513	Dsim\GD25201	Scf_2R	17752068..17776719	-1	EOG091902M2	cv-2	2R	21355015..21379464	-1	FBgn0231371	Dyak\GE13717
110	FBgn0000404	CycA	3L	11826719..11833578	-1	FBgn0184498	Dsim\GD12771	Scf_3L	11521960..11528410	-1	EOG091906FE	CycA	3L	11826719..11833578	-1	FBgn0237495	Dyak\GE20173
111	FBgn0000405	CycB	2R	22803521..22806948	-1	FBgn0187170	Dsim\GD15503	Scf_2R	19175054..19178611	-1	EOG091905ZW	CycB	2R	22803521..22806948	-1	FBgn0229622	Dyak\GE11834
112	FBgn0000406	Cyt-b5-r	2L	16788774..16790721	-1	FBgn0193313	Dsim\GD21896	Scf_2L	16316681..16318538	-1	EOG091907G5	Cyt-b5-r	2L	16788774..16790721	-1	FBgn0230858	Dyak\GE13163
113	FBgn0000411	D	3L	14175610..14178620	-1	FBgn0184354	Dsim\GD12627	Scf_3L	13841289..13844166	-1	EOG09190EET	D	3L	14175610..14178620	-1	FBgn0237352	Dyak\GE20027
114	FBgn0000412	D1	3R	9238083..9240654	-1	FBgn0269640	Dsim\GD28350	Scf_3R	15948035..15949852	1	EOG09190DRW	D1	3R	9238083..9240654	-1	FBgn0241897	Dyak\GE24795
115	FBgn0000414	Dab	3L	16712126..16724575	1	FBgn0186334	Dsim\GD14655	Scf_3L	16296897..16307713	1	EOG091900CX	Dab	3L	16712126..16724575	1	FBgn0237199	Dyak\GE19869
116	FBgn0000416	Sap-r	3R	30883464..30889062	-1	FBgn0083425	Dsim\Sap-r	Scf_3R	26020030..26025684	-1	EOG091902A3	Sap-r	3R	30883464..30889062	-1	FBgn0240545	Dyak\GE23352
117	FBgn0000422	Ddc	2L	19116483..19120306	-1	FBgn0016334	Dsim\Ddc	Scf_2L	18633146..18636916	-1	EOG091905YV	Ddc	2L	19116483..19120306	-1	FBgn0230397	Dyak\GE12670
118	FBgn0000426	SmF	2R	12183844..12184310	-1	FBgn0186911	Dsim\GD15243	Scf_2R	8776208..8776662	-1	EOG09190K9C	SmF	2R	12183844..12184310	-1	FBgn0231137	Dyak\GE13467
119	FBgn0000439	Dfd	3R	6791836..6802428	1	FBgn0191381	Dsim\GD19895	Scf_3R	2511784..2522496	1	EOG09190A7K	Dfd	3R	6791836..6802428	1	FBgn0241980	Dyak\GE24883
120	FBgn0000442	Pkg21D	2L	786153..790798	-1	FBgn0194336	Dsim\GD22942	Scf_2L	748646..753305	-1	EOG091903CV	Pkg21D	2L	786153..790798	-1	FBgn0233499	Dyak\GE15942
121	FBgn0000447	Dhod	3R	8651391..8652916	-1	FBgn0192317	Dsim\GD20856	Scf_3R	16510975..16512543	1	EOG091909CG	Dhod	3R	8651391..8652916	-1	FBgn0241937	Dyak\GE24838
122	FBgn0000448	Hr3	2R	10203995..10237348	-1	FBgn0197277	Dsim\GD26001	Scf_2R	6862915..6892882	-1	EOG091904YD	Hr3	2R	10203995..10237348	-1	FBgn0238967	Dyak\GE21721
123	FBgn0000449	dib	3L	4062292..4064551	1	FBgn0185507	Dsim\GD13808	Scf_3L	4022769..4025421	1	EOG0919074C	dib	3L	4062292..4064551	1	FBgn0238667	Dyak\GE21407
124	FBgn0000451	ect	3L	10190276..10201837	-1	FBgn0184594	Dsim\GD12869	Scf_3L	9927963..9939521	-1	EOG09190DFV	ect	3L	10190276..10201837	-1	FBgn0237598	Dyak\GE20279
125	FBgn0000454	Dip-B	3R	13782288..13785676	1	FBgn0190445	Dsim\GD18934	Scf_3R	11567349..11570717	-1	EOG09190745	Dip-B	3R	13782288..13785676	1	FBgn0243332	Dyak\GE26302
126	FBgn0000455	Dip-C	3R	12411809..12413759	-1	FBgn0192038	Dsim\GD20570	Scf_3R	12875377..12877325	1	EOG0919065I	Dip-C	3R	12411809..12413759	-1	FBgn0241634	Dyak\GE24520
127	FBgn0000459	disco	X	16210598..16216750	-1	FBgn0270117	Dsim\GD28827	Scf_X	15220687..15226050	-1	EOG09190FHD	disco	X	16210598..16216750	-1	FBgn0233540	Dyak\GE15986
128	FBgn0000463	Dl	3R	19302731..19326217	-1	FBgn0014814	Dsim\Dl	Scf_3R	6111388..6133420	1	EOG091902GI	Dl	3R	19302731..19326217	-1	FBgn0242221	Dyak\GE25135
129	FBgn0000464	Lar	2L	19586623..19732069	1	FBgn0195579	Dsim\GD24230	Scf_2L	19082392..19195263	1	EOG0919006U	Lar	2L	19586623..19732069	1	FBgn0230963	Dyak\GE13277
